,PC1,PC2,PC3
gb.CAA79727_1.ARO_3000191.tetQ__Bacteroides_fragilis_,-0.061720649495733276,0.18575486192845053,-0.48438273559543216
gb.ACA23185_1.ARO_3000194.tetW__Bifidobacterium_longum_,-0.07834965730582677,0.20668845252865808,-0.3711597060912801
gb.ACT97371_1.ARO_3003097.CfxA6__uncultured_organism_,-0.0750430674294778,0.1286514858032083,-0.343163744332544
gb.AAA23033_2.ARO_3000190.tetO__Campylobacter_jejuni_,-0.08577149835074165,0.1561106164090479,-0.17856307245601422
gb.AAA88675_1.ARO_3000498.ErmF__Bacteroides_fragilis_,-0.09021116709363725,0.10023417847403236,-0.13504286070581883
gb.AFK31666_1.ARO_3000567.tet.40.__Streptococcus_suis_,-0.0896783617092354,0.13377590404008913,-0.0755486630941227
gb.ACT97415_1.ARO_3002999.CblA.1__mixed_culture_bacterium_AX_gF3SD01_15_,-0.0919792373286454,0.13330696618261986,-0.04230403295018151
gb.AAL59753_1.ARO_3000412.sul2__Vibrio_cholerae_,-0.09063684466776764,0.05366515611403457,-0.09236548594337253
gb.AHA41505_1.ARO_3002930.vanRO__Rhodococcus_equi_,-0.103057835488989,0.07989084157244013,0.007936074832703071
gb.AAN82549_1.ARO_3003369.Escherichia_coli_EF.Tu_mutants_conferring_resistance_to_Pulvomycin__Escherichia_coli_CFT073_,-0.062480492809698154,-0.1413738729907846,-0.1535258895324511
gb.AAY32951_1.ARO_3002837.lnuC__Streptococcus_agalactiae_,-0.09821924777875927,0.08658091093876501,0.04882572446927976
gb.AAF86219_1.ARO_3000375.ErmB__Enterococcus_faecium_,-0.1096385967017691,0.08386050564008757,0.10540913614909767
gb.CDJ73208.ARO_3003890.Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K.12_substr__MC4100_,-0.054048632002423096,-0.1490986186931249,-0.11813040759635401
gb.AAD01868_1.ARO_3002867.dfrF__Enterococcus_faecalis_,-0.1139253187286916,0.08894736110201085,0.1587584153835825
gb.YP_008997285_1.ARO_3000615.mefA__Exiguobacterium_sp__S3.2_,-0.0957138610544943,0.08521206787541556,0.0820333287850184
gb.AAU10334_1.ARO_3002628.aad.6.__Streptococcus_oralis_,-0.0922565823323178,0.06690488810908879,-0.0036644038001427057
gb.NP_312864_1.ARO_3000830.cpxA__Escherichia_coli_O157_H7_str__Sakai_,-0.04650316693040306,-0.15886424476226252,-0.10325206056035126
gb.CDJ73205.ARO_3003893.Escherichia_coli_UhpA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K.12_substr__MC4100_,-0.05225918589412032,-0.1399899920167071,-0.05749077091320201
gb.WP_000195296_1.ARO_3003316.Escherichia_coli_parE_conferring_resistance_to_fluoroquinolones__Proteobacteria_,-0.055092054810617734,-0.11681817268337426,-0.09195993845906496
gb.CAC41371_2.ARO_3000196.tet32__Clostridiaceae_bacterium_K10_,-0.08730924122461468,0.0940447180969688,0.0780969950362056
gb.AGV10830_1.ARO_3002647.APH.3_..IIIa__Campylobacter_coli_CVM_N29710_,-0.11577910144405039,0.09483447026524819,0.22633239525804028
gb.CDJ73082.ARO_3003900.Escherichia_coli_CyaA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K.12_substr__MC4100_,-0.04895125760547985,-0.14371088218747702,-0.09032033423593919
gb.AAC37034_1.ARO_3000522.ErmG__Bacteroides_thetaiotaomicron_,-0.0944245849365528,0.03938999184452181,-0.0066538629058780115
