,PC1,PC2,PC3
X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis,-0.06532594809170819,0.04487226829250095,0
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation,-0.004525989822812049,-0.07012969078812534,0
AEROBACTINSYN.PWY..aerobactin.biosynthesis,0.005333628018878184,-0.08801802540446757,0
ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism,-0.02121834208384525,-0.0824662716657853,0
ANAEROFRUCAT.PWY..homolactic.fermentation,-0.030368341800051442,0.0371686959735526,0
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.,-0.06643537260084593,0.05345363895027017,0
PWY_ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,0.022083950347191565,0.005288861094416249,0
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation,0.0017345870467668353,-0.07420816340300605,0
ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis,-0.05291166250047663,0.007906841811447941,0
ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion,-0.012897569333528718,-0.09544426616151513,0
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.,0.017252737924544157,0.08426415153785496,0
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.,0.056251894025096214,0.0948905579433445,0
ARO.PWY..chorismate.biosynthesis.I,-0.06951940688591975,0.05713420729756052,0
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,-0.041521822270778025,0.03671337325935303,0
AST.PWY..L.arginine.degradation.II..AST.pathway.,0.06684583217828377,-0.02407982411421695,0
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.06955098183102114,0.044183227734695595,0
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis,-0.060440741617306,0.050863375622307784,0
CALVIN.PWY..Calvin.Benson.Bassham.cycle,-0.06907401518584481,0.05018479925151624,0
CENTFERM.PWY..pyruvate.fermentation.to.butanoate,-0.022847936727466864,-0.076885184448647,0
CITRULBIO.PWY..L.citrulline.biosynthesis,-0.032308828123239236,-0.032808051924532594,0
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.,-0.07924142135412302,0.06330294626847768,0
COA.PWY..coenzyme.A.biosynthesis.I,-0.04968788737078799,0.030150000107010647,0
COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I,-0.050737702357679285,0.017750834175368477,0
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,0.029120451829898628,0.012530097620601187,0
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis,-0.06918248219164358,0.056410116063202606,0
CRNFORCAT.PWY..creatinine.degradation.I,0.007849079239473146,-0.07025569300931538,0
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I,-0.026883134987375847,0.035155635769443444,0
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,-0.06369041587054838,0.024663926048946558,0
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I,-0.07645380694194749,0.03463578512296301,0
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.024836048109367872,-0.05525561227320778,0
ENTBACSYN.PWY..enterobactin.biosynthesis,0.0435233189926255,0.012961940141897112,0
FAO.PWY..fatty.acid..beta..oxidation.I,0.0689626418079223,-0.004072257099769104,0
FASYN.ELONG.PWY..fatty.acid.elongation....saturated,0.07535012319784509,0.052531091138863145,0
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.,0.09575297537960253,0.06133582660346517,0
FERMENTATION.PWY..mixed.acid.fermentation,0.0777074846785156,0.023782033054896765,0
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage,0.04734240127309342,-0.002193214265829527,0
FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.058456038105493074,0.0027124072071624795,0
FUCCAT.PWY..fucose.degradation,0.08839454270925955,0.030756533928522557,0
GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation,-0.04902043996992905,0.024001746557545313,0
GALACTARDEG.PWY..D.galactarate.degradation.I,0.0655702237993052,-0.0273298676358319,0
GALACTUROCAT.PWY..D.galacturonate.degradation.I,-0.05157832692069782,0.02373281774204687,0
GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation,-0.03930329710214828,0.029203452123377324,0
GLUCARDEG.PWY..D.glucarate.degradation.I,0.06822787184697397,-0.017191457661116506,0
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,0.06578676124255518,-0.02649520288247961,0
GLUCONEO.PWY..gluconeogenesis.I,0.0005485402127754467,0.00986558865370989,0
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation,0.09747089549172074,0.025135761040894447,0
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronide.and.D.glucuronate.degradation,-0.04586950538074245,0.026858663454854364,0
GLUDEG.I.PWY..GABA.shunt,0.07689998586868961,0.023231595661188376,0
GLUTORN.PWY..L.ornithine.biosynthesis,0.07598076027434116,0.09638010443078482,0
GLYCOCAT.PWY..glycogen.degradation.I..bacterial.,0.04790493786956714,-0.01807087868724789,0
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,-0.005252263868617022,0.021983992618243745,0
GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation,0.049566870824137944,-0.04946362247252075,0
PWY_GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.Entner.Doudoroff,0.04366545665849436,0.02647742629799702,0
PWY_GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass,0.07560094135654258,0.022327747377303225,0
PWY_GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.,-0.008666839436799058,0.03730261998872782,0
PWY_GLYOXYLATE.BYPASS..glyoxylate.cycle,0.12008741190669314,0.04630683184083175,0
GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol,0.04304474114972855,-0.04096939614460007,0
HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.oxopent.4.enoate,0.029453249158305068,-0.03736042550552539,0
PWY_HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.,0.04250255793718451,-0.01729934361921412,0
HEMESYN2.PWY..heme.biosynthesis.II..anaerobic.,0.017186680660419052,0.009520284763566773,0
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.,0.033945551248344134,0.028325956584876005,0
HISDEG.PWY..L.histidine.degradation.I,-0.06715517506483319,0.008267668347626572,0
HISTSYN.PWY..L.histidine.biosynthesis,-0.044186775820260794,0.03340904727091221,0
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.014758742567863902,0.02972466576679751,0
HSERMETANA.PWY..L.methionine.biosynthesis.III,-0.061838380424398764,0.0038586905906087985,0
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,-0.07307149436580453,0.06651973708709344,0
KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis,0.024571987213007115,-0.06430081754991915,0
KETOGLUCONMET.PWY..ketogluconate.metabolism,0.027815497649372967,-0.06108139310183052,0
LACTOSECAT.PWY..lactose.and.galactose.degradation.I,0.05198894379767824,0.04431294308992439,0
LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis,-0.02314803201876393,-0.10314155490343101,0
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.0073154184559537155,0.04616468530269496,0
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation,-0.00751042080954585,-0.09782174958238117,0
METSYN.PWY..L.homoserine.and.L.methionine.biosynthesis,-0.0013115638625282658,0.0412882262786408,0
PWY_NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II,0.09945885329381218,0.026987040807432434,0
NAGLIPASYN.PWY..lipid.IVA.biosynthesis,0.010683889108431073,0.012758486720620375,0
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I,-0.08394584433674598,0.05929231314963624,0
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch.,-0.07119713682468184,0.038282228907997456,0
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.,0.016486323142426502,0.03674169306921116,0
ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation,0.003644879450604686,-0.07059508335089056,0
ORNDEG.PWY..superpathway.of.ornithine.degradation,-0.008598552289622367,-0.0823999567354975,0
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.,0.06820349238328788,0.018921715390570554,0
P108.PWY..pyruvate.fermentation.to.propanoate.I,0.029522997647901623,-0.0054701814949933356,0
P122.PWY..heterolactic.fermentation,0.008068070296354165,-0.07434397232675098,0
P124.PWY..Bifidobacterium.shunt,-0.023034674550778768,-0.08850381772977979,0
P161.PWY..acetylene.degradation,0.06553145476760826,0.030118784005207167,0
P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.,-0.0373525049031531,-0.061924621645385765,0
P164.PWY..purine.nucleobases.degradation.I..anaerobic.,0.00724652285242567,-0.040628199560968255,0
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,0.002727028766935895,-0.03530203745875937,0
P23.PWY..reductive.TCA.cycle.I,-0.02165553878518889,-0.11574280662235552,0
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I,0.019078283951123414,0.04073765877791717,0
P42.PWY..incomplete.reductive.TCA.cycle,-0.019016106263772266,-0.0015504150445587016,0
P441.PWY..superpathway.of.N.acetylneuraminate.degradation,0.038960045322536725,0.026757968076003714,0
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,0.07843441710523232,0.04816996389589915,0
PANTO.PWY..phosphopantothenate.biosynthesis.I,-0.07331468682267953,0.054246056455412056,0
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I,-0.058112474620257565,0.03743648953340529,0
