,PC1,PC2,PC3
MOCK_LL11_D06_914,-0.015036584997698799,0.00654087002773376,0
MOCK_LL12_A10_1040,0.010993217483659128,0.0062346190017693965,0
MOCK_LL12_C02_978,-0.005972088790953483,0.021905239110692417,0
MOCK_LL12_D01_971,-0.006011773438276266,0.0023023826701999164,0
MOCK_LL13_A02_1072,-0.020386716930780483,0.004648799211997463,0
MOCK_LL14_H09_1233,-0.003196360508212008,0.00939161340676525,0
MOCK_LL15_E03_1278,-0.031205241183874615,-0.015323408031045403,0
MOCK_LL18_F06_1593,0.002062143052941661,0.013306887868928589,0
MOCK_LL22_D08_2042,-0.009853671635686397,0.030887900084452795,0
MOCK_LL25_C12_2383,-0.0028409157633762614,0.011293668154906079,0
MOCK_LL32_D08_2930,-0.03966317490524527,0.012943371004687544,0
MOCK_LL32_E09_2939,0.03668300264198633,0.012997786881726876,0
MOCK_LL32_G05_2779,-0.017532818571338125,0.028581292968772955,0
MOCK_LL33_D07_2995,0.0012561164376499677,0.019304473609148685,0
MOCK_LL35_C07_3209,0.016781139209506888,-0.015376736619327916,0
MOCK_LL36_A08_3311,0.02309668858865397,0.0003758821664274783,0
MOCK_LL36_G05_3293,-0.014316891407151854,-0.045893813652208626,0
MOCK_LL37_D6_3394,3.3651926787180854e-05,0.014058663180964548,0
MOCK_LL37_F1_3356,0.002563568045899449,-0.04838315836290555,0
MOCK_LL37_H7_3406,0.007187599737671268,0.0028078159279765883,0
MOCK_LL39_G03_3600,-0.009541488464978586,-0.031001455915347656,0
MOCK_LL3_G02_126,-0.0026985764780983776,0.016863221757293104,0
MOCK_LL40_D03_3658,-0.0068075700685007986,-0.03216353172806955,0
MOCK_LL40_F09_3708,0.03818321839608247,-0.004943160469313529,0
MOCK_LL41_G10_3813,-0.035225710285487995,-0.027240554904942774,0
MOCK_LL41_H12_3830,0.03696406928417195,0.001040467437261942,0
MOCK_LL42_A04_3855,0.03165338027808998,-0.0074678096219274745,0
MOCK_LL43_A03_3943,0.023756007223664728,0.017583526684150325,0
MOCK_LL44_F7_4076,-0.004534337639733922,0.004052869381895183,0
MOCK_LL45_C02_4129,-0.00998475015692013,0.004055945929167608,0
MOCK_LL45_E08_4179,-0.022751979205634404,0.011881512365537356,0
MOCK_LL45_H02_4134,0.00010985255685813174,0.011426291612818978,0
MOCK_LL46_A02_4223,-0.010580791711866069,-0.03439077428976157,0
MOCK_LL46_C05_4249,-0.004764975274345299,0.005511051600359821,0
MOCK_LL46_G08_4277,-0.01876490949045134,-0.03802122757833549,0
MOCK_LL47_A06_4351,0.0019450587354104274,0.008679523689772789,0
MOCK_LL48_C02_4417,0.03581051934739994,0.009470181087003917,0
MOCK_LL48_C08_4465,-0.007777545375917561,-0.0015982468424917313,0
MOCK_LL48_D12_4498,0.01035013955490239,-0.00801743441401227,0
MOCK_LL4_G12_220,0.04002215147367151,-0.010459941312286027,0
MOCK_LL50_C02_4688,0.022288692071487114,0.01532374762112904,0
MOCK_LL50_D09_4745,-0.004695973064604937,0.003915972284854294,0
MOCK_LL51_A01_4619,-0.02202782845765283,-0.014290470090027192,0
MOCK_LL51_A04_4643,0.0020932590162147857,0.02074162694549155,0
MOCK_LL51_G10_4773,-0.01772166654992272,-0.018138548446568984,0
MOCK_LL52_B02_4800,-0.005455958974188859,0.019868206438291847,0
MOCK_LL52_C08_4849,0.01405066122518226,0.007744345913237411,0
MOCK_LL52_F10_4868,0.017540727177014402,0.0024605914044950996,0
MOCK_LL53_B08_4944,-0.02287667312932765,-0.0472880819171787,0
MOCK_LL53_F11_4972,-0.001949755874813068,0.023508824882804615,0
MOCK_LL54_A10_5055,-0.021696353220194458,-0.014639865140071382,0
MOCK_LL54_H01_4990,0.047054471721474506,-0.019099715538678327,0
MOCK_LL55_F11_5164,-0.031755989199210057,-0.015689144653887644,0
MOCK_LL56_D08_5234,-0.0034445446198307717,0.015667135495597735,0
MOCK_LL56_F05_5212,-0.02738540960583987,-0.003389551310714226,0
MOCK_LL56_H11_5262,0.0034233299506783005,0.02856433564162608,0
MOCK_LL57_D01_5274,0.000657856496912652,0.0003785964860021005,0
MOCK_LL58_E08_5427,-0.003989989930015001,0.013005384779109477,0
MOCK_LL59_D04_5490,-0.024001625770586857,0.004632610133051576,0
MOCK_LL59_F08_5524,-0.0029842484062371907,0.012779178536750898,0
MOCK_LL59_G07_5517,0.009788539180759602,0.005421354613424026,0
MOCK_LL5_A04_246,-0.0001935518008556721,0.009828728326124393,0
MOCK_LL5_C07_272,-0.023304963167552192,-0.00739794876507424,0
MOCK_LL5_C10_296,-0.0012522425232656357,0.009054324411971066,0
MOCK_LL5_D06_265,-0.024169218402758853,-0.015686324903752723,0
MOCK_LL5_F05_259,0.015098881877865651,0.00012190028645433121,0
MOCK_LL5_F12_315,-0.02263561943052975,0.016603805463996937,0
MOCK_LL5_H07_277,0.016269360184788684,0.01608088313760352,0
MOCK_LL60_C09_5625,-0.010479949006835364,-0.02494721221914183,0
MOCK_LL60_D12_5650,0.0003720582038242941,0.009124720014444497,0
MOCK_LL60_H04_5590,0.026715492865395454,-0.010304486476188581,0
MOCK_LL61_D08_5714,-0.0019167880459014346,0.007921762185813412,0
MOCK_LL62_A03_5767,0.005841150392179262,-0.007968277751405404,0
MOCK_LL62_A04_5775,-0.000390736716318784,0.01224275007402241,0
MOCK_LL62_A05_5783,-0.01260458744797904,-0.018193223421170163,0
MOCK_LL62_A12_5839,0.002053513138815691,0.006764057980334097,0
MOCK_LL62_B12_5840,-0.019290266700801854,-0.033330632985132856,0
MOCK_LL62_D08_5810,-0.0011902965460766854,0.013598139984208333,0
