,PC1,PC2,PC3
X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis,-0.07415803226872418,-0.03082616153414354,0
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation,0.07426774953759174,-0.0700876394867452,0
AEROBACTINSYN.PWY..aerobactin.biosynthesis,0.09539809387080625,-0.06304374842302396,0
ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism,0.03199070764018453,-0.037206556534341635,0
ANAEROFRUCAT.PWY..homolactic.fermentation,-0.049805300410255195,0.000553989490304774,0
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.,-0.08034199232756846,-0.037105096721129334,0
PWY_ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,0.002441860823686747,0.055084039487426205,0
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation,0.06357628905755912,-0.07676943109306704,0
ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis,-0.03913157489371603,-0.005127052189625441,0
ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion,0.052053815118515805,-0.03404537239613818,0
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.,-0.05386736019760755,0.07621789377940148,0
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.,-0.035163137000212036,0.11248527687653359,0
ARO.PWY..chorismate.biosynthesis.I,-0.08404315124919189,-0.04219289112322657,0
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,-0.055233929984216605,-0.009211039432762426,0
AST.PWY..L.arginine.degradation.II..AST.pathway.,0.07436579760524255,-0.1001546764585766,0
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.006181394053669072,0.08833270863044965,0
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis,-0.07592699019429981,-0.0258256055627255,0
CALVIN.PWY..Calvin.Benson.Bassham.cycle,-0.07933666385648623,-0.03943456024079276,0
CENTFERM.PWY..pyruvate.fermentation.to.butanoate,0.029027277473573768,0.025937291009245047,0
CITRULBIO.PWY..L.citrulline.biosynthesis,-0.0021837511136806307,0.005479783777124327,0
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.,-0.09354723801354449,-0.05527541112634986,0
COA.PWY..coenzyme.A.biosynthesis.I,-0.05461754879754201,-0.010392513670180346,0
COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I,-0.046533680864463446,-0.010658357387977978,0
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,-0.0004574972900375933,0.05778470459496204,0
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis,-0.08341334427798655,-0.04150799889609536,0
