,PC1,PC2,PC3
LL11_D06_914,0.00736383843490623,-0.030330163791325686,0
LL12_A10_1040,0.01385801089935973,0.011280983645929646,0
LL12_C02_978,0.014891331119658718,0.0013700268080648489,0
LL12_D01_971,0.0038055935338269817,0.02495196063994629,0
LL13_A02_1072,-0.017749100396214124,0.03726822065102352,0
LL14_H09_1233,0.00862526250042457,0.008665073276629158,0
LL15_E03_1278,0.008335573642404361,0.015832386200629774,0
LL18_F06_1593,0.009394774879813763,0.007252293767682886,0
LL22_D08_2042,-0.0025289918221749934,0.0008984191518364538,0
LL25_C12_2383,-0.014821826872532013,-0.04898289366077749,0
LL3_G02_126,0.016331137594999875,0.0049957084472279055,0
LL32_D08_2930,0.010774864029078369,-0.008215272938221479,0
LL32_E09_2939,-0.004225855670200391,0.01694472044900344,0
LL32_G05_2779,0.020433890000240516,-0.03114419335815789,0
LL33_D07_2995,0.0059259049717085,-0.01968225229801787,0
LL35_C07_3209,-0.007911428118072309,-0.003702846474263407,0
LL36_A08_3311,-0.017881112536025395,0.046904522817766074,0
LL36_G05_3293,-0.003608097544260716,-0.009438688447038861,0
LL37_D6_3394,-0.0070011554637527534,-0.029650972146128114,0
LL37_F1_3356,-0.007583933209438638,0.028371979085098573,0
LL37_H7_3406,0.015728424289977002,-0.021239833014851658,0
LL39_G03_3600,0.017386893193273134,-0.0018325675541529768,0
LL4_G12_220,-0.05679249438258436,0.0049206909431538624,0
LL40_D03_3658,-0.008184351680784695,-0.047551458336439936,0
LL40_F09_3708,0.0035466119180179324,-0.010067891688594819,0
LL41_G10_3813,0.0013533712927972473,-0.015479016598681717,0
LL41_H12_3830,0.0262025670271024,-0.005628109347914465,0
LL42_A04_3855,0.018188832421402092,-0.007502114680635208,0
LL43_A03_3943,0.0003257432808367676,0.03321070262970799,0
LL44_F7_4076,0.017523880050976985,0.0003421095940011078,0
LL45_C02_4129,0.01402651456126679,-0.0041480158051309,0
LL45_E08_4179,-0.008633275195767412,0.003415033237500826,0
LL45_H02_4134,-0.0027186281267361292,-0.01641664478500882,0
LL46_A02_4223,0.023512567607564348,-0.03223559440486381,0
LL46_C05_4249,-0.0006899530184771837,0.01722206176230756,0
LL46_G08_4277,0.024091150022935603,-0.014295217025567285,0
LL47_A06_4351,-0.0010299708617208041,-0.021248456418708112,0
LL48_C02_4417,-0.006958290118345758,0.02926432902386825,0
LL48_C08_4465,0.01637629915160636,-0.023597566300573938,0
LL48_D12_4498,-0.005215381425001256,-0.017847004161163405,0
LL5_A04_246,0.013774414480369408,-0.02191949544312476,0
LL5_C07_272,0.025415890983248784,0.005046385826610955,0
LL5_C10_296,0.019452217392468704,-0.006625602018436779,0
LL5_D06_265,0.02634180255203545,-0.025068893419354806,0
LL5_F05_259,0.010103323251249685,0.0051294908004493635,0
LL5_F12_315,0.006847742012193829,0.0022351699289030642,0
LL5_H07_277,0.023134521787778174,0.006180748407820448,0
LL50_C02_4688,0.01613874682140606,0.014104623994689496,0
LL50_D09_4745,0.022857922063795538,-0.0072650498857029806,0
LL51_A01_4619,0.006579679706124829,-0.00777988508454453,0
LL51_A04_4643,0.023998525295372036,-0.03442253665626283,0
LL51_G10_4773,0.00012463865249727038,-0.0074135282146329485,0
LL52_B02_4800,-0.00395256029963487,-0.021168127349867026,0
LL52_C08_4849,0.012214159335908964,-0.024792209738051282,0
LL52_F10_4868,0.017057097303723665,0.008399017385749092,0
