Factor	Estimate	SD	Pvalue	Taxa	FDR
dum_predyes	-1.17332902459341	0.371680006297341	0.00217040688180264	s__Methanobrevibacter_unclassified	0.0303517837377088
dum_predyes	-0.790638012007617	0.215826013017685	0.000257961429860005	s__Bifidobacterium_adolescentis	0.00556326457167962
dum_predyes	-1.48297367012547	0.53898804117503	0.00694136411718517	s__Bifidobacterium_animalis	0.0701979761003472
dum_predyes	-0.753169876342748	0.186003549105622	5.58809784829552e-05	s__Adlercreutzia_equolifaciens	0.00144966596354333
dum_predyes	-0.647307060263183	0.136404129217788	2.24646268969462e-06	s__Collinsella_aerofaciens	9.80772735256921e-05
dum_predyes	-0.638354334479894	0.182510143108051	0.000493544393983353	s__Eggerthella_unclassified	0.0094096794577252
dum_predyes	-0.750652484548292	0.192320656428734	0.000109386226958969	s__Gordonibacter_pamelaeae	0.00261068461675407
dum_predyes	0.489442236149782	0.156184952415786	0.00175046848761332	s__Bacteroides_uniformis	0.0258953602713044
dum_predyes	0.70821804056025	0.221621408282938	0.00144112980462008	s__Paraprevotella_unclassified	0.0220480542758114
dum_predyes	1.57729582935	0.467233625494656	0.000839714502253476	s__Lactobacillus_delbrueckii	0.0144527784522473
dum_predyes	-1.12707712223411	0.153355275621035	4.14548566734906e-13	s__Eubacterium_hallii	7.42041934455482e-11
dum_predyes	-0.723910900462485	0.174030902934891	3.32897259653793e-05	s__Eubacterium_rectale	0.000961106604484338
dum_predyes	-0.607028787159644	0.133226234487368	5.61683441830225e-06	s__Ruminococcus_obeum	0.000218568121929588
dum_predyes	-0.317919861241676	0.110457184451401	0.00406673459083841	s__Ruminococcus_torques	0.0491855062000051
dum_predyes	-0.646915142268557	0.155040597350958	3.24132450862399e-05	s__Coprococcus_catus	0.0009511427656454
dum_predyes	-0.749253255437456	0.146853193831595	3.84768958345207e-07	s__Coprococcus_comes	1.96781838696549e-05
dum_predyes	-0.632059741370719	0.147993962032142	2.13388506575102e-05	s__Dorea_formicigenerans	0.000670114783806023
dum_predyes	-0.791878366609814	0.153918175878963	3.07075847354613e-07	s__Dorea_longicatena	1.61666401989635e-05
dum_predyes	-0.910580276244064	0.199036548253621	6.32480551281228e-06	s__Lachnospiraceae_bacterium_5_1_63FAA	0.000235862538915291
dum_predyes	0.399781646276217	0.129915849625502	0.00211985936758228	s__Lachnospiraceae_bacterium_7_1_58FAA	0.0298783328186794
dum_predyes	-0.498016159947517	0.160158539458559	0.00190576008706325	s__Roseburia_hominis	0.0272577693193973
dum_predyes	-0.56385860894681	0.187281719818943	0.00267393180246745	s__Ruminococcus_lactaris	0.0349367731855236
dum_predyes	-1.39943836643604	0.30021088073887	4.02025064775701e-06	s__Eubacterium_biforme	0.000166371130730761
dum_predyes	-2.06165272984749	0.674423592554336	0.00256566650030786	s__Mitsuokella_unclassified	0.0342682639005432
dum_predyes	-0.8273224706182	0.247028237403781	0.00083018098507188	s__Akkermansia_muciniphila	0.0144274171192103
mycofenolzuuryes	-1.15989057500502	0.189157225555124	1.11839810259017e-09	s__Bifidobacterium_adolescentis	1.17234436400923e-07
mycofenolzuuryes	-1.29656307222181	0.403054431768576	0.00149047515459983	s__Bifidobacterium_catenulatum	0.0221335560458075
mycofenolzuuryes	-0.337400421125204	0.113543324505167	0.00300280348606477	s__Collinsella_aerofaciens	0.0379244795771214
mycofenolzuuryes	1.30598176905078	0.45025220681345	0.00445742249165617	s__Coriobacteriaceae_bacterium_phI	0.0502729549375399
mycofenolzuuryes	0.757350955617482	0.239571066587397	0.00161956177307422	s__Bacteroides_cellulosilyticus	0.0234638949562461
mycofenolzuuryes	-1.23739634268399	0.351897509957092	0.0004674392326081	s__Bacteroides_eggerthii	0.00867684075528786
mycofenolzuuryes	0.513498374113051	0.196461555559475	0.00910934747900918	s__Bacteroides_fragilis	0.0826335237194261
mycofenolzuuryes	0.468483369554594	0.146895888697222	0.00145507385963388	s__Bacteroides_thetaiotaomicron	0.0217894253602317
mycofenolzuuryes	0.446786375042786	0.148322418271499	0.00262575691147305	s__Bacteroides_vulgatus	0.0344051383547425
mycofenolzuuryes	0.70840950383822	0.20920559378089	0.00074532648102456	s__Coprobacter_fastidiosus	0.0125299225394884
mycofenolzuuryes	0.385252322712131	0.142508654074805	0.0069403017491984	s__Parabacteroides_distasonis	0.0671544575094807
mycofenolzuuryes	0.721918929918226	0.18280571539321	8.42148699329146e-05	s__Paraprevotella_unclassified	0.00242049835839442
mycofenolzuuryes	-0.612630688448049	0.184150988515353	0.000895264159335431	s__Alistipes_putredinis	0.014503279381234
mycofenolzuuryes	-0.548102263020265	0.216621121137307	0.0115136648743968	s__Alistipes_senegalensis	0.0968292714631592
mycofenolzuuryes	-0.92610088435182	0.324499473960759	0.00452777404462342	s__Alistipes_unclassified	0.0504907681731043
mycofenolzuuryes	0.365530589897747	0.136301952454598	0.00748728988496254	s__Clostridium_asparagiforme	0.0706321762227086
mycofenolzuuryes	-0.493198763951353	0.189688813135723	0.00984622801197161	s__Clostridiales_bacterium_1_7_47FAA	0.08680913785557
mycofenolzuuryes	0.364220913034269	0.131152519129757	0.00559514011511034	s__Pseudoflavonifractor_capillosus	0.0576331773706742
mycofenolzuuryes	0.370082777361388	0.128407448320587	0.00400189938624243	s__Eubacterium_eligens	0.0463076928979481
mycofenolzuuryes	-0.379576279039328	0.138020004414403	0.00606474629187586	s__Eubacterium_hallii	0.0603764128051552
mycofenolzuuryes	-0.803936428814074	0.14568604414933	3.89249263901403e-08	s__Eubacterium_rectale	2.67503887926609e-06
mycofenolzuuryes	-1.97917919002109	0.654436625303952	0.00272122913523585	s__Butyrivibrio_crossotus	0.0352980651595357
mycofenolzuuryes	-0.408164204175619	0.137768332928768	0.00312223193853379	s__Dorea_formicigenerans	0.0386376202393557
mycofenolzuuryes	-0.52168413394818	0.13277816559977	8.95936566021222e-05	s__Dorea_longicatena	0.00253422057246003
mycofenolzuuryes	-0.536049888441395	0.21172607885682	0.0116758339661403	s__Lachnospiraceae_bacterium_1_1_57FAA	0.0968292714631592
mycofenolzuuryes	0.720031899581526	0.151352168943731	2.15262841319296e-06	s__Roseburia_intestinalis	9.35605812758499e-05
mycofenolzuuryes	0.622764298456424	0.192584034115036	0.0012769205249159	s__Roseburia_unclassified	0.0196161411672425
mycofenolzuuryes	0.403068031804449	0.0871049196429876	3.93494689170533e-06	s__Oscillibacter_unclassified	0.000155823896911531
mycofenolzuuryes	0.458687154842623	0.0998737591279842	4.63920091742513e-06	s__Faecalibacterium_prausnitzii	0.000175894809252161
mycofenolzuuryes	-0.788447688357524	0.267766460156949	0.00338318101066105	s__Eubacterium_biforme	0.0407353281148513
mycofenolzuuryes	0.430994344357138	0.128569227340718	0.000819974476931128	s__Bilophila_unclassified	0.0136560235316941
mycofenolzuuryes	-1.2000442362096	0.197795083330425	1.63355894537511e-09	s__Akkermansia_muciniphila	1.61722335592136e-07
tacrolimusyes	0.601360302389393	0.201981687936225	0.00298796892578167	s__Bacteroides_fragilis	0.045711739921001
tacrolimusyes	0.453338019696622	0.149961173952578	0.00254355913855208	s__Bacteroides_thetaiotaomicron	0.0411618928007006
tacrolimusyes	-0.661458919234996	0.156305109641715	2.44641300852461e-05	s__Bacteroidales_bacterium_ph8	0.00101895946471339
tacrolimusyes	0.585323855434365	0.15371631272074	0.000150202462502153	s__Paraprevotella_clara	0.00433891307002187
tacrolimusyes	0.526453010160085	0.187770665052945	0.00515444767285107	s__Paraprevotella_unclassified	0.0694106449780171
