Taxa	MetaCyc_complete_name	Representative_taxa	NCBI_IDs	Taxa_range	NCBI_IDs	MetaCycID_2	name	pathClass	Class	Category
1CMET2-PWY	X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis	Escherichia coli,	511145,	Fungi,Metazoa,Bacteria,	4751,33208,2,	1CMET2-PWY	N.10.formyl.tetrahydrofolate.biosynthesis	Folate.Biosynthesis.Vitamin.Biosynthesis.Cofactors..Prosthetic.Groups..Electron.Carriers.Biosynthesis.Biosynthesis	Vitamin.Biosynthesis	Biosynthesis
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation	Pseudomonas aeruginosa,Acinetobacter,Escherichia coli,Escherichia coli,Escherichia coli,Klebsiella pneumoniae,Pseudomonas putida,Pseudomonas putida,	208964,469,37762,498388,566546,573,303,	Proteobacteria,	1224,	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4 hydroxyphenylacetate degradation	Aromatic Compounds Degradation,Degradation,Pathways	Aromatic Compounds Degradation	Degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	X4.HYDROXYMANDELATE.DEGRADATION.PWY..4.hydroxymandelate.degradation	Aspergillus niger,Pseudomonas fluorescens,Pseudomonas putida,	5061,294,303,	Fungi,Bacteria,	4751,2,	4-HYDROXYMANDELATE-DEGRADATION-PWY	4 hydroxymandelate degradation	Aromatic Compounds Degradation,Degradation,Pathways	Aromatic Compounds Degradation	Degradation
7ALPHADEHYDROX-PWY	X7ALPHADEHYDROX.PWY..cholate.degradation..bacteria..anaerobic.					7ALPHADEHYDROX-PWY	7ALPHADEHYDROX.PWY_cholate_degradation_.bacteria._anaerobic.		Polyamine-Biosynthesis	Degradation
AEROBACTINSYN-PWY	AEROBACTINSYN.PWY..aerobactin.biosynthesis	[Enterobacter] aerogenes,Escherichia coli,Klebsiella pneumoniae,Salmonella enterica,Shigella boydii,Shigella flexneri,Yersinia frederiksenii,Yersinia intermedia,Yersinia kristensenii,	548,83333,573,90371,621,623,29484,631,28152,	Proteobacteria,	1224,	AEROBACTINSYN-PWY	aerobactin biosynthesis	aerobactin biosynthesis	Siderorphore Biosynthesis	Biosynthesis
ALL-CHORISMATE-PWY	ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism	Escherichia coli,	511145,	Bacteria,	2,	ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	Super-Pathways,Pathways	Amino Acids Biosynthesis	Biosynthesis
ALLANTOINDEG-PWY	ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast	Saccharomyces cerevisiae,	4932,	Fungi,	4751,	ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	Allantoin-degradation,AMINE-DEG,Degradation	AMINE-DEG	Degradation
ANAEROFRUCAT-PWY	ANAEROFRUCAT.PWY..homolactic.fermentation	Rattus norvegicus,Homo sapiens,Lactobacillus dextrinicus,Lactobacillus delbrueckii,Streptococcus thermophilus,Streptococcus equinus,Pediococcus damnosus,Pediococcus acidilactici,Lactococcus lactis,Lactobacillus plantarum,Lactobacillus delbrueckii,Lactobacillus acidophilus,Enterococcus faecium,Enterococcus faecalis,Lactobacillus salivarius,Lactobacillus casei,	10116,9606,51664,1585,1308,1335,51663,1254,1358,1590,1584,1579,1352,1351,1624,1582,	Archaea,Eukaryota,Bacteria,	2157,2759,2,	ANAEROFRUCAT-PWY	homolactic fermentation	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
ANAGLYCOLYSIS-PWY	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	Homo sapiens,Thermotoga maritima,	9606,2336,	Eukaryota,Bacteria,	2759,2,	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	GLYCOLYSIS-VARIANTS,Energy-Metabolism,Pathways	Glycolysis	Energy-Metabolism
ARG+POLYAMINE-SYN	PWY_ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis	Escherichia coli,	511145,	Bacteria,	2,	ARG-POLYAMINE-SYN	ARG.POLYAMINE.SYN_superpathway_of_arginine_and_polyamine_biosynthesis	Polyamine-Biosynthesis,Biosynthesis,Pathways	Polyamine-Biosynthesis	Biosynthesis
ARGDEG-IV-PWY	ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway.	Pseudomonas putida,	303,	Proteobacteria,	1224,	ARGDEG-IV-PWY	L arginine degradation VIII arginine oxidase pathway	ARGININE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
ARGDEG-PWY	ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation	Escherichia coli,	511145,	Bacteria,	2,	ARGDEG-PWY	superpathway of L arginine putrescine and 4 aminobutanoate degradation	ARGININE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
ARGININE-SYN4-PWY	ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis	Homo sapiens,	9606,	Metazoa,	33208,	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	L-Ornithine-Biosynthesis,Other-Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
ARGORNPROST-PWY	ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion	Clostridium sporogenes,[Clostridium] sticklandii,	1509,1511,	Firmicutes,	1239,	ARGORNPROST-PWY	arginine ornithine and proline interconversion	Interconversion,Activation-Inactivation-Interconversion,Pathways	Amino Acids Biosynthesis	Biosynthesis
ARGSYN-PWY	ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	Escherichia coli,Moritella sp.,Myxococcus xanthus,Salmonella enterica,Vibrionaceae,	511145,78556,34,90371,641,	Archaea,Viridiplantae,Bacteria,	2157,33090,2,	ARGSYN-PWY	L arginine biosynthesis I via L ornithine	ARGININE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
ARGSYNBSUB-PWY	ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	Corynebacterium glutamicum,Bacillus subtilis,Chlamydomonas,Corynebacterium glutamicum,Glycine max,Methanothermobacter thermautotrophicus,Neisseriaceae,Neurospora crassa,Pseudomonas,Saccharomyces cerevisiae,Thermotoga neapolitana,Thermus aquaticus,	196627,1423,3052,1718,3847,145262,481,5141,286,4932,2337,271,	Viridiplantae,Fungi,Bacteria,Archaea,	33090,4751,2,2157,	ARGSYNBSUB-PWY	L arginine biosynthesis II acetyl cycle	ARGININE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
