,PC1,PC2,PC3
VFG000019.gb.NP_882290..__VF0026.__Ptx.__Pertussis.toxin.__Bordetella.pertussis.__ADP.ribosyltransferase.A.B.type.Type.IV.secretory.protein.Adherence.Intracellular.toxin.Toxin,0.07557758230964363,-0.019263223888988816,0
VFG000046.gb.NP_880886..__VF0035.__TTSS.__Type.III.secretion.system.__Bordetella.pertussis.__Type.III.secretion.system.Secretion.system,0.0657364666821798,-0.03357484034237718,0
VFG000114.gb.NP_253218..__VF0082.__Type.IV.pili.__.__Pseudomonas.aeruginosa.__Adherence.Twitching.motility,-0.02845130959972041,-0.002291819435085163,0
VFG000115.gb.NP_249839..__VF0086.__ExoA.__Exotoxin.A.__Pseudomonas.aeruginosa.__ADP.ribosyltransferase.A.B.type.Molecular.mimicry.Toxin.Intracellular.toxin,-0.03996662695455649,-0.005031785072845184,0
VFG000116.gb.NP_254170..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,0.09483567956615584,-0.07889856162538757,0
VFG000117.gb.NP_253940..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.10113583553507417,0.01580248153874296,0
VFG000118.gb.NP_253942..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.0007054682793892155,0.0038904397347243602,0
VFG000119.gb.NP_253948..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.03664742939337599,0.0043876543163530474,0
VFG000120.gb.NP_253949..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.03429026301805318,0.005224448109889897,0
VFG000121.gb.NP_249453..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.013260763184749454,0.0032385989359417647,0
VFG000122.gb.NP_252230..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.013251404349718878,-0.004609177901251498,0
VFG000123.gb.NP_252231..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.09437099535143006,0.014965976429612395,0
VFG000124.gb.NP_252232..__VF0091.__Alginate.__Mucoid.exopolysaccharide.__Pseudomonas.aeruginosa.__Serum.resistance.Antiphagocytosis,-0.09483344143358724,0.002464499331182006,0
