,PC1,PC2,PC3
MOCK_LL11_D06_914,-0.01688932399976426,-0.004140613381498325,0
MOCK_LL12_A10_1040,0.01340809410290607,0.009649124619943147,0
MOCK_LL12_C02_978,-0.019556574545537178,0.004430947772246919,0
MOCK_LL12_D01_971,0.02552883108459028,-0.024499656497169033,0
MOCK_LL13_A02_1072,-0.021422863752124995,-0.015632866930204728,0
MOCK_LL14_H09_1233,0.01664681504317697,-0.008430446851386485,0
MOCK_LL15_E03_1278,-0.0189523744484282,-0.0235100344001522,0
MOCK_LL18_F06_1593,0.022780923863745146,-0.009041265529546575,0
MOCK_LL22_D08_2042,-0.01976431054883776,-0.0032914577615096156,0
MOCK_LL25_C12_2383,0.023309166930446584,-0.012172330697966699,0
MOCK_LL32_D08_2930,-0.01940630170933812,-0.0069713117376830145,0
MOCK_LL32_E09_2939,0.021924358385015122,0.012672475304897162,0
MOCK_LL32_G05_2779,-0.008274275175493388,-0.006816017763754558,0
MOCK_LL33_D07_2995,0.020874265193752045,-0.019830519332317147,0
MOCK_LL35_C07_3209,-0.01935884286683363,0.02957496485230589,0
MOCK_LL36_A08_3311,0.023691771331849278,0.014511813654820205,0
MOCK_LL36_G05_3293,-0.020773090851004154,-0.013290118267084736,0
MOCK_LL37_D6_3394,0.02011453668596667,-0.017124485512354192,0
MOCK_LL37_F1_3356,-0.02054985572761969,-0.01330476031074218,0
MOCK_LL37_H7_3406,0.01972023428879043,0.0037589880631820273,0
MOCK_LL39_G03_3600,-0.02099956228078048,-0.010942627584637665,0
MOCK_LL3_G02_126,0.01990715499076133,-0.02213094297492896,0
MOCK_LL40_D03_3658,-0.019922161080996637,-0.013298482292730191,0
MOCK_LL40_F09_3708,0.019174225671690102,0.03839877494485283,0
MOCK_LL41_G10_3813,-0.019839680157161328,-0.016581980865478553,0
MOCK_LL41_H12_3830,0.020327890530114284,0.012198994662011055,0
MOCK_LL42_A04_3855,-0.02603241742255283,0.044801384704823415,0
MOCK_LL43_A03_3943,0.02384643584622223,0.021410207493070346,0
MOCK_LL44_F7_4076,-0.027831231384580674,0.004022598646768105,0
MOCK_LL45_C02_4129,0.02023758369311516,0.010174003756012566,0
MOCK_LL45_E08_4179,-0.018142652261879354,0.0005942985906311223,0
MOCK_LL45_H02_4134,0.01901750457257807,0.022536326118653756,0
MOCK_LL46_A02_4223,-0.018841263298590937,-0.01582038930340749,0
MOCK_LL46_C05_4249,0.021116422285894172,-0.004322878050746089,0
MOCK_LL46_G08_4277,-0.01860091037721002,-0.0013227647194650983,0
MOCK_LL47_A06_4351,0.01759838210079704,-0.004623305818716799,0
MOCK_LL48_C02_4417,-0.023163064907027964,0.05293467021797203,0
MOCK_LL48_C08_4465,0.02017809814876196,-0.023223768527111093,0
MOCK_LL48_D12_4498,-0.020957011231520974,-0.00912942381984028,0
MOCK_LL4_G12_220,0.023184174462645566,0.024803126465609088,0
MOCK_LL50_C02_4688,-0.016426378785661687,0.045362955130487756,0
MOCK_LL50_D09_4745,0.02105721484184225,-0.011316393954489731,0
MOCK_LL51_A01_4619,-0.019973877692168053,-0.007809930106543575,0
MOCK_LL51_A04_4643,0.017249870727258865,-0.0256137413920402,0
MOCK_LL51_G10_4773,-0.020250174454301623,-0.008580729885984458,0
MOCK_LL52_B02_4800,0.020532105013974684,-0.02514676354489089,0
MOCK_LL52_C08_4849,-0.016273879930992156,0.017426185735064114,0
MOCK_LL52_F10_4868,0.018161776279914155,0.011048698248627876,0
MOCK_LL53_B08_4944,-0.01934425619064419,-0.013659268169407488,0
MOCK_LL53_F11_4972,0.015490548991705924,-0.020274838200096245,0
MOCK_LL54_A10_5055,-0.02103214735698236,-0.012621870151250396,0
MOCK_LL54_H01_4990,0.022550974933571548,0.01902623985690897,0
MOCK_LL55_F11_5164,-0.018647166414590407,-0.01483919926873069,0
MOCK_LL56_D08_5234,0.01497575725485689,0.0036337222198380434,0
MOCK_LL56_F05_5212,-0.019245082001279033,-0.016944327652251612,0
MOCK_LL56_H11_5262,0.015814457452580772,0.0052821713332490815,0
MOCK_LL57_D01_5274,-0.02280020202899988,0.010328371455671627,0
