"DF","SumsOfSqs","MeanSqs","FModel","R2","pval","FDR(BH)","Significant"
1,0.570247794180117,0.570247794180117,1.85704278726763,0.00566418452225407,0.007,0.0455,"Yes"
1,0.246309778168154,0.246309778168154,0.799533859425923,0.00244655752712868,0.763,0.881688888888889,"No"
1,0.688971740055396,0.688971740055396,2.24633786087587,0.00684345140151408,0.001,0.013,"Yes"
1,0.48772793694274,0.48772793694274,1.58790007161241,0.00490716763902789,0.037,0.12025,"No"
1,0.291227509234557,0.291227509234557,0.946271877293425,0.00293012169421473,0.532,0.6916,"No"
1,0.259831457602446,0.259831457602446,0.850329589165555,0.0027985146184152,0.634,0.784952380952381,"No"
1,0.462295393743452,0.462295393743452,1.51623272126605,0.00497915236805754,0.047,0.143764705882353,"No"
1,0.369769669011054,0.369769669011054,1.20669442846416,0.00375675367106306,0.204,0.36725,"No"
1,0.486772209762355,0.486772209762355,1.58387927636593,0.00483503425096718,0.025,0.0866666666666667,"No"
1,0.424814241928077,0.424814241928077,1.38355207929086,0.00426517334316836,0.08,0.191454545454545,"No"
1,0.366532806178547,0.366532806178547,1.19771338030882,0.00404362804371482,0.226,0.36725,"No"
1,0.204910726781666,0.204910726781666,0.668831126381673,0.00224689674041723,0.939,0.957411764705882,"No"
1,0.214353112832454,0.214353112832454,0.699680155719356,0.00238229798326095,0.886,0.94224,"No"
1,0.345123310249609,0.345123310249609,1.12139087112259,0.00342805729743423,0.301,0.423027027027027,"No"
1,0.273424668947048,0.273424668947048,0.888628530025853,0.00340616045640939,0.612,0.77619512195122,"No"
1,0.213198718461561,0.213198718461561,0.697731828678717,0.00244220289819143,0.896,0.94224,"No"
1,0.29816132402155,0.29816132402155,0.968346524762819,0.00296159103795536,0.51,0.68,"No"
1,0.745638498180364,0.745638498180364,2.42902044531786,0.00748706278490048,0.002,0.0208,"Yes"
1,0.415652493452654,0.415652493452654,1.34954008774336,0.00417362612415392,0.099,0.21424,"No"
1,0.505096592272253,0.505096592272253,1.64142747470141,0.00507174711071166,0.024,0.0866666666666667,"No"
1,0.760448045854858,0.760448045854858,2.47695888281835,0.00765729618385476,0.001,0.013,"Yes"
1,0.450610167646198,0.450610167646198,1.46282078587399,0.00453640138205374,0.051,0.147333333333333,"No"
1,0.360393790953456,0.360393790953456,1.16751875489944,0.0036465871348843,0.236,0.371878787878788,"No"
1,0.450127436304528,0.450127436304528,1.46429937725062,0.00451297532597906,0.06,0.164210526315789,"No"
1,0.651889868837973,0.651889868837973,2.12160910200853,0.00654571939182496,0.001,0.013,"Yes"
1,0.235734567831,0.235734567831,0.727910961587766,0.0215818573055643,0.824,0.911659574468085,"No"
1,0.517696621336601,0.517696621336601,1.55922079519169,0.280474701875539,0.00277777777777778,0.0240740740740741,"Yes"
1,0.362822301658763,0.362822301658763,1.21965365033856,0.0367148213878541,0.21,0.36725,"No"
1,0.339714592712172,0.339714592712172,1.1181936774859,0.00588157112087226,0.3,0.423027027027027,"No"
1,0.359561060404577,0.359561060404577,1.17615697099328,0.00370821370126143,0.221,0.36725,"No"
1,0.176418232425922,0.176418232425922,0.576404344251657,0.0018207432276755,0.987,0.987,"No"
1,0.239653924042428,0.239653924042428,0.77959873693417,0.00242277241936497,0.793,0.896434782608696,"No"
1,0.381011966960106,0.381011966960106,1.24266487554601,0.00389254010277872,0.165,0.33,"No"
1,0.71755302630115,0.71755302630115,2.35622762386804,0.00744802035845958,0.001,0.013,"Yes"
1,0.431921435746771,0.431921435746771,1.40463459265976,0.00429020986342277,0.081,0.191454545454545,"No"
1,0.563155813162944,0.563155813162944,1.83381745095488,0.00559374095452866,0.006,0.0445714285714286,"Yes"
1,0.499688252511976,0.499688252511976,1.6261156562162,0.0049633273371971,0.019,0.0823333333333333,"No"
1,0.522048134245592,0.522048134245592,1.69925981579442,0.00518542463827842,0.012,0.0567272727272727,"No"
1,0.417985978426252,0.417985978426252,1.35912670465133,0.00415179108746082,0.103,0.21424,"No"
1,0.493485776809157,0.493485776809157,1.6058317596418,0.00490171909033649,0.023,0.0866666666666667,"No"
1,0.337635282485017,0.337635282485017,1.09697854846034,0.00335367985766282,0.312,0.426947368421053,"No"
1,0.374283342662336,0.374283342662336,1.21649257773404,0.00371769945992268,0.199,0.36725,"No"
1,0.563557477458363,0.563557477458363,1.83513276255812,0.00559773062482371,0.011,0.0567272727272727,"No"
1,0.345594083430384,0.345594083430384,1.1229257984515,0.00343273341576604,0.271,0.402628571428571,"No"
1,0.442184132261977,0.442184132261977,1.43815673569075,0.00439214766546477,0.071,0.1846,"No"
1,0.345155364562412,0.345155364562412,1.12149538180331,0.0034283756880432,0.26,0.397647058823529,"No"
1,0.258561119289979,0.258561119289979,0.839404723750401,0.00256824823328717,0.705,0.852558139534884,"No"
1,0.36668015466865,0.36668015466865,1.19169042610066,0.00364217815112825,0.219,0.36725,"No"
1,0.43553229437883,0.43553229437883,1.41642834365273,0.00432607597248009,0.09,0.203478260869565,"No"
1,0.560799888989914,0.560799888989914,1.82610282686853,0.00557033991839548,0.008,0.0462222222222222,"Yes"
1,0.259276294810688,0.259276294810688,0.841732497329115,0.00257535196285252,0.738,0.872181818181818,"No"
1,0.20966584313759,0.20966584313759,0.680337577863539,0.00208257889932351,0.906,0.94224,"No"
